company_name,tradingsymbol,fiscal_year,current_assets,current_liabilities,inventory,total_liabilities,total_assets,total_debt,total_equity,net_profit,revenue,ebit,interest_expense,operating_cash_flow,free_cash_flow,eps
20MICRONS,20MICRONS,2018,5738.86,2781.01,1067.71,2474.38,14011.72,944.82,12431.67,411.94,5193.75,724.63,59.88,434.16,201.22,3.9529
20MICRONS,20MICRONS,2019,3331.32,3650.07,612.3,3024.43,14910.16,1016.89,12631.53,365.42,4877.66,660.64,59.82,469.52,307.52,1.1296
20MICRONS,20MICRONS,2020,4327.71,3818.29,312.26,3370.72,14981.46,1166.63,11610.74,317.82,4558.61,622.27,128.2,323.09,252.18,1.1566
20MICRONS,20MICRONS,2021,3414.23,4602.06,452.87,3905.39,15467.79,1374.25,11909.08,-228.49,4388.07,-340.31,88.39,-470.94,-548.47,-0.7892
20MICRONS,20MICRONS,2022,5286.65,5020.97,837.38,5934.45,15938.15,1515.89,10003.7,-413.57,4174.66,-852.91,117.71,-407.49,-565.87,-1.543
20MICRONS,20MICRONS,2023,7298.65,5116.06,856.72,6874.48,16640.44,1676.25,9765.96,-362.1,3977.71,-584.09,181.14,-678.08,-847.08,-3.5092
21STCENMGM,21STCENMGM,2018,1794.34,856.05,317.56,5866.48,4133.01,5395.66,246.13,411.88,19633.78,680.53,502.0,275.65,86.71,3.3265
21STCENMGM,21STCENMGM,2019,1194.65,1381.67,182.06,6601.21,4150.4,5841.29,219.54,384.9,19550.47,685.61,591.27,420.9,244.16,4.8885
21STCENMGM,21STCENMGM,2020,1172.62,857.34,260.71,7461.65,4301.4,6990.12,232.36,317.74,17909.52,556.92,660.38,359.02,335.95,0.9233
21STCENMGM,21STCENMGM,2021,1957.08,1242.84,222.33,8591.85,4594.65,7908.29,227.48,49.92,17062.0,76.15,821.28,-89.7,-259.64,0.4346
21STCENMGM,21STCENMGM,2022,1338.83,974.05,253.18,9007.66,4661.77,8471.94,203.6,-674.93,16304.64,-1008.64,952.86,-652.65,-723.96,-4.1152
21STCENMGM,21STCENMGM,2023,1725.76,2055.93,167.8,10372.92,4774.91,9242.16,204.68,-321.84,15479.77,-606.38,957.94,-405.01,-439.59,-1.1831
360ONE,360ONE,2018,1627.78,1349.32,312.78,6216.82,6472.09,4150.23,255.27,983.5,9659.58,1422.09,211.6,721.52,607.39,5.569
360ONE,360ONE,2019,2005.49,1524.32,354.61,6498.97,6751.4,4555.65,252.43,830.07,9114.68,1377.47,362.77,944.83,855.33,10.8638
360ONE,360ONE,2020,2219.17,2247.74,194.49,6548.27,6780.98,5255.93,232.71,736.84,8997.58,1406.11,625.11,530.74,435.48,4.608
360ONE,360ONE,2021,2935.45,2962.88,665.77,7492.13,7231.68,5862.54,220.24,-244.31,8497.38,-360.46,510.78,-189.61,-240.64,-1.1317
360ONE,360ONE,2022,2517.51,2266.61,230.82,7671.04,7311.81,6424.4,208.98,-230.37,7850.69,-401.38,686.96,-499.15,-738.2,-2.3713
360ONE,360ONE,2023,3251.58,1461.19,585.01,7993.14,7437.45,7189.49,215.83,-441.6,7428.1,-893.05,449.34,-558.62,-638.06,-6.203
3IINFOLTD,3IINFOLTD,2018,5014.36,5008.97,822.27,8120.4,15567.01,5365.46,8029.93,54.88,11566.59,110.6,512.39,60.11,-122.36,0.3216
3IINFOLTD,3IINFOLTD,2019,5307.38,3716.51,807.23,8359.35,16621.99,5962.63,8262.65,49.42,11254.42,88.34,508.97,42.28,-155.8,0.6248
3IINFOLTD,3IINFOLTD,2020,7520.39,5530.77,1300.93,10051.64,16905.21,7009.72,8140.45,39.0,10926.07,79.2,340.34,39.22,-99.0,0.6879
3IINFOLTD,3IINFOLTD,2021,6549.81,3735.25,1185.15,9941.84,17403.13,7479.33,7461.29,-725.34,9934.08,-1437.16,525.34,-879.73,-1017.8,-2.1917
3IINFOLTD,3IINFOLTD,2022,5499.33,4125.3,746.0,11059.58,18493.45,8503.37,7433.87,-136.98,9514.87,-200.12,504.79,-253.65,-452.77,-1.0302
3IINFOLTD,3IINFOLTD,2023,4538.96,5483.58,330.7,12667.73,19205.06,9651.76,6856.11,-663.64,9167.66,-1125.0,685.61,-750.52,-939.41,-2.479
3MINDIA,3MINDIA,2018,2589.34,2355.88,197.3,5439.24,7122.89,4143.5,2128.07,617.35,15616.77,1143.09,312.96,373.01,278.0,9.8026
3MINDIA,3MINDIA,2019,2277.7,1759.13,439.38,5824.56,6892.77,4857.04,2116.01,536.25,15905.37,1109.01,338.49,667.33,494.69,3.6663
3MINDIA,3MINDIA,2020,3166.72,2115.01,699.0,6710.07,7413.57,5546.82,2115.26,444.69,15707.44,894.44,577.33,427.27,390.87,1.688
3MINDIA,3MINDIA,2021,2402.65,3040.85,184.75,7460.61,7570.23,5788.15,1958.45,-480.69,14787.43,-785.48,532.14,-558.94,-782.0,-3.5331
3MINDIA,3MINDIA,2022,3083.84,3617.65,555.78,8898.43,7973.19,6908.72,1866.13,-378.83,13630.83,-537.47,379.89,-764.73,-942.76,-1.6131
3MINDIA,3MINDIA,2023,2345.0,3208.42,534.03,9274.93,7850.58,7510.3,1696.12,105.65,13590.05,162.48,777.09,76.61,-135.27,0.4357
3PLAND,3PLAND,2018,1789.72,1743.03,211.71,7351.22,5422.69,6392.55,244.24,1667.6,8834.57,2816.13,439.23,1906.31,1781.26,5.5947
3PLAND,3PLAND,2019,2179.57,1575.59,477.05,8212.29,5764.98,7345.72,244.93,1434.62,8581.38,2306.46,874.56,1294.8,1049.2,24.3964
3PLAND,3PLAND,2020,2477.81,998.74,486.18,8752.98,5865.69,8203.67,220.42,1250.08,8580.27,2609.91,513.89,1557.19,1484.64,3.6485
3PLAND,3PLAND,2021,1607.54,2947.12,365.48,11154.42,6292.48,9533.5,231.69,320.62,7505.23,479.41,919.0,273.59,149.13,2.4579
